,global_id,Number,Cells
30,2449492162,31,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '14:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '14:47', 'global_id': 2449492162}"
31,2449492165,32,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '19:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '20:18', 'global_id': 2449492165}"
32,2449492166,33,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '15:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '15:48', 'global_id': 2449492166}"
33,2449492172,34,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '16:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '17:18', 'global_id': 2449492172}"
34,2449492176,35,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '21:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '22:15', 'global_id': 2449492176}"
35,2449492177,36,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '18:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '18:47', 'global_id': 2449492177}"
36,2449492179,37,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '18:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '19:17', 'global_id': 2449492179}"
37,2449492180,38,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '19:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '19:46', 'global_id': 2449492180}"
38,2449492183,39,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '23:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '23:48', 'global_id': 2449492183}"
39,2449492184,40,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '20:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '20:47', 'global_id': 2449492184}"
40,2449492185,41,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '20:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '21:15', 'global_id': 2449492185}"
41,2449492186,42,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '23:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '00:16', 'global_id': 2449492186}"
42,2449492187,43,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '21:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '21:48', 'global_id': 2449492187}"
43,2449492188,44,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '05:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '06:17', 'global_id': 2449492188}"
44,2449492191,45,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '22:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '22:46', 'global_id': 2449492191}"
45,2449492192,46,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '06:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '07:18', 'global_id': 2449492192}"
46,2449492193,47,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '22:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '23:16', 'global_id': 2449492193}"
47,2449492194,48,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '07:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '07:47', 'global_id': 2449492194}"
48,2449492197,49,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '07:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '08:17', 'global_id': 2449492197}"
49,2449492199,50,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '08:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '08:48', 'global_id': 2449492199}"
50,2449492201,51,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '08:39', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '09:18', 'global_id': 2449492201}"
51,2449492202,52,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '06:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '06:47', 'global_id': 2449492202}"
52,2449492212,53,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '09:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '09:48', 'global_id': 2449492212}"
53,2449492214,54,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '09:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '10:18', 'global_id': 2449492214}"
54,2449492216,55,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '10:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '10:48', 'global_id': 2449492216}"
55,2449492218,56,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '10:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '11:18', 'global_id': 2449492218}"
56,2449492219,57,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '11:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '11:48', 'global_id': 2449492219}"
57,2449492220,58,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '12:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '13:17', 'global_id': 2449492220}"
58,2449492221,59,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '11:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '12:17', 'global_id': 2449492221}"
59,2449492222,60,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '12:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '12:47', 'global_id': 2449492222}"
60,2449492223,61,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '13:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '13:47', 'global_id': 2449492223}"
61,2449492227,62,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '14:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '14:47', 'global_id': 2449492227}"
62,2449492228,63,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '13:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '14:17', 'global_id': 2449492228}"
63,2449492231,64,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '14:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '15:18', 'global_id': 2449492231}"
64,2449492236,65,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '16:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '16:46', 'global_id': 2449492236}"
65,2449492239,66,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '16:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '17:18', 'global_id': 2449492239}"
66,2449492240,67,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '17:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '17:48', 'global_id': 2449492240}"
67,2449492242,68,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '17:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '18:16', 'global_id': 2449492242}"
68,2449492244,69,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '18:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '18:47', 'global_id': 2449492244}"
69,2449492247,70,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '18:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '19:17', 'global_id': 2449492247}"
70,2449492249,71,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '19:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '19:46', 'global_id': 2449492249}"
71,2449492250,72,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '19:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '20:18', 'global_id': 2449492250}"
72,2449492253,73,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '20:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '20:47', 'global_id': 2449492253}"
73,2449492255,74,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '20:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '21:15', 'global_id': 2449492255}"
74,2449492256,75,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '21:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '21:48', 'global_id': 2449492256}"
75,2449492258,76,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '21:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '22:15', 'global_id': 2449492258}"
76,2449492260,77,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '22:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '22:46', 'global_id': 2449492260}"
77,2449492264,78,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '23:08', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '23:48', 'global_id': 2449492264}"
78,2449492266,79,"{'StationStart': 'Верхние Котлы', 'Line': 'В Домодедово', 'TimeStart': '23:38', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '00:16', 'global_id': 2449492266}"
79,2449492628,80,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '05:15', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '05:53', 'global_id': 2449492628}"
80,2449492630,81,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '05:40', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '06:25', 'global_id': 2449492630}"
81,2449492631,82,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '06:17', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '07:07', 'global_id': 2449492631}"
82,2449492634,83,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '06:47', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '07:38', 'global_id': 2449492634}"
83,2449492636,84,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '07:27', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '08:21', 'global_id': 2449492636}"
84,2449492637,85,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '07:58', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '08:50', 'global_id': 2449492637}"
85,2449492640,86,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '08:38', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '09:30', 'global_id': 2449492640}"
86,2449492641,87,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '09:08', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '10:02', 'global_id': 2449492641}"
87,2449492644,88,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '09:48', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '10:38', 'global_id': 2449492644}"
88,2449492646,89,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '10:18', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '11:08', 'global_id': 2449492646}"
89,2449492647,90,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '10:58', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '11:48', 'global_id': 2449492647}"
90,2449492650,91,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '11:28', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '12:17', 'global_id': 2449492650}"
